unix,symbol,open,high,low,close,Volume XRP,Volume USD
1654473600,XRP/USD,0.39495,0.39653,0.39384,0.39653,54181.73127,21484.6819
1654470000,XRP/USD,0.39613,0.39644,0.39461,0.3951,208159.3192,82243.747
1654466400,XRP/USD,0.39618,0.39747,0.39449,0.39596,361927.4829,143308.8061
1654462800,XRP/USD,0.39736,0.39743,0.39577,0.39578,358405.5003,141849.7289
1654459200,XRP/USD,0.39904,0.39918,0.39703,0.39703,67489.65699,26795.41852
1654455600,XRP/USD,0.39796,0.39888,0.39757,0.39858,288908.1636,115153.0158
1654452000,XRP/USD,0.39774,0.39792,0.39677,0.39763,134630.5614,53533.15012
1654448400,XRP/USD,0.39374,0.39764,0.39374,0.39732,209114.593,83085.41009
1654444800,XRP/USD,0.39514,0.39587,0.39363,0.39391,368384.738,145110.4322
1654441200,XRP/USD,0.39404,0.39529,0.39318,0.39473,376541.3533,148632.1684
1654437600,XRP/USD,0.39163,0.39378,0.39042,0.39378,114344.6441,45026.63396
1654434000,XRP/USD,0.39282,0.39343,0.39138,0.39138,372075.5333,145622.9222
1654430400,XRP/USD,0.3935,0.39435,0.39155,0.39237,2396756.987,940415.5391
1654426800,XRP/USD,0.39197,0.39391,0.39088,0.3935,343895.7624,135322.9825
1654423200,XRP/USD,0.393,0.39303,0.39156,0.3919,5975353.781,2341741.147
1654419600,XRP/USD,0.3913,0.39669,0.39104,0.39317,201091.9657,79063.32815
1654416000,XRP/USD,0.39102,0.39205,0.39071,0.39088,177324.8481,69312.73663
1654412400,XRP/USD,0.39085,0.39201,0.39072,0.39081,91868.92655,35903.29519
1654408800,XRP/USD,0.39157,0.39186,0.39083,0.39083,140523.8111,54920.92109
1654405200,XRP/USD,0.39111,0.39185,0.3905,0.39121,74163.13676,29013.36073
1654401600,XRP/USD,0.39106,0.39158,0.39035,0.39071,219876.9186,85908.11086
1654398000,XRP/USD,0.39187,0.39213,0.3912,0.39126,44744.65523,17506.7938
1654394400,XRP/USD,0.38936,0.39228,0.38931,0.39224,120660.7276,47327.96381
1654390800,XRP/USD,0.39134,0.39134,0.38943,0.38943,154986.0651,60356.22334
1654387200,XRP/USD,0.39223,0.39404,0.39155,0.39188,180288.6455,70651.51441
1654383600,XRP/USD,0.39169,0.39226,0.39102,0.39226,69206.16246,27146.80929
1654380000,XRP/USD,0.39222,0.3939,0.39137,0.39212,262940.2817,103104.1433
1654376400,XRP/USD,0.39027,0.39188,0.38932,0.39188,84581.82954,33145.92736
1654372800,XRP/USD,0.38935,0.3905,0.38901,0.38967,166428.2671,64852.10285
1654369200,XRP/USD,0.39072,0.39072,0.38966,0.38966,58732.68873,22885.77949
1654365600,XRP/USD,0.39024,0.3911,0.3897,0.39018,81116.40512,31649.99895
1654362000,XRP/USD,0.3894,0.38987,0.38845,0.38971,78488.69368,30587.82881
1654358400,XRP/USD,0.39055,0.39134,0.38925,0.38977,151568.3005,59076.7765
1654354800,XRP/USD,0.39052,0.39135,0.39003,0.39078,82816.9233,32363.19729
1654351200,XRP/USD,0.38985,0.39254,0.38777,0.39116,280164.1591,109589.0125
1654347600,XRP/USD,0.38704,0.39013,0.38704,0.38942,221297.4106,86177.63764
1654344000,XRP/USD,0.38888,0.38944,0.38654,0.38717,120635.9445,46706.61864
1654340400,XRP/USD,0.38972,0.39113,0.389,0.38954,226960.9686,88410.3757
1654336800,XRP/USD,0.3909,0.39166,0.38834,0.38989,4975552.812,1939918.286
1654333200,XRP/USD,0.39161,0.39194,0.38987,0.39084,114379.3147,44704.01134
1654329600,XRP/USD,0.39154,0.39216,0.39054,0.39109,114005.6936,44586.48672
1654326000,XRP/USD,0.39012,0.39109,0.38873,0.39085,234887.1746,91805.65219
